,mse,mae,rsquared
1,9.127493249609502,1.4539285355107947,0.7204434828069175
2,7.747644727016585,1.4483265655644149,0.762738600158074
3,7.425815900481221,1.2657138176425118,0.7725941834461152
4,7.135814461462536,1.3345010725372703,0.7814750949749847
5,6.981406979876473,1.1912397049017187,0.7862036204195533
6,6.687312416693011,1.205543516024749,0.7952098784767263
7,6.692668691696895,1.1904108137635958,0.7950742328972188
8,6.655813249825085,1.1677594360534258,0.7962027258864
9,6.714714373163264,1.370291851520425,0.7943992064774285
10,6.772248868540532,1.216103184146686,0.7926375324512384
11,6.726791795054776,1.189867851282771,0.7940294025830846
12,7.164098995245292,1.2523402981598328,0.7806625710467283
13,7.0382717481288255,1.2162420066289752,0.7845149221788261
14,6.468902373203751,1.1608354539543986,0.8019468441698093
15,6.624611177246618,1.1881427350228069,0.7971796335594007
16,6.562235479045357,1.150529508781287,0.7990893398995433
17,6.459540820001599,1.1487682722251684,0.8022414856287924
18,6.368193632794687,1.17824444521427,0.8050380751291004
19,6.759802182431616,1.3298617336267515,0.7930489992567935
20,6.399570412767546,1.2404443743594347,0.8040774766026585
21,6.339335244036775,1.2220764720638593,0.8059215732363095
22,6.2639161171358415,1.2293990558924224,0.8082120184428886
23,6.128878814487745,1.1655454574959856,0.8123465775949414
24,6.48844741979782,1.257119326270829,0.8013373406009989
25,6.671467557374656,1.3035663927227854,0.7957336476214358
